,title,type
1957,Uta no Prince Sama: Maji Love Kingdom,Movie
1958,Strike the Blood,TV
1959,Run Melos!,Movie
1960,Black Jack Special: The 4 Miracles of Life,Special
1961,Angel Densetsu,OVA
1962,Sword Art Online Alternative: Gun Gale Online,TV
1963,Digimon Movie 1: Digimon Adventure,Movie
1964,Barefoot Gen 2,Movie
1965,Caramel Honey,Other
1966,Maison Ikkoku: Kanketsuhen,Movie
1967,Eve: Last Dance,Video
1968,Ze Tian Ji 2nd Season,Web
1969,Thunder Jet,TV
1970,Fushigi Yugi: The Mysterious Play,TV
1971,Yaoguai Mingdan 2nd Season,Web
1972,Detective Conan: Time Travel of the Silver Sky,Special
1973,Saint Seiya: Knights of the Zodiac,TV
1974,Selector Spread WIXOSS,TV
1975,HENNEKO - The Hentai Prince and the Stony Cat,TV
1976,Ie Naki Ko Remi Specials,Other
1977,Detective Conan: Black History,Special
1978,Happy Birthday Inochi Kagayaku Toki,Movie
1979,Level E,TV
1980,Dragon Ball Z Kai: Bring Peace to the Future! Goku's Spirit is Eternal,Special
1981,Pigtails,Movie
1982,Kuromukuro,TV
1983,Naruto Shippuden Movie 1,Movie
1984,Senjou no Valkyria 3: Tagatame no Juusou,OVA
1985,Tari Tari,TV
1986,Shugo Chara!,TV
1987,Eve: Literally Nonsense,Video
1988,Berserk (2017),TV
1989,Lupin III: Dead or Alive,Movie
1990,Lupin III: The Fuma Conspiracy,OVA
1991,Zoids: New Century/Zero,TV
1992,Boys Over Flowers,TV
1993,Little Nemo: Adventures in Slumberland,Movie
1994,Midnight occult civil servants Specials,Special
1995,C: The Money of Soul and Possibility Control,TV
1996,Osomatsu-san: Ouma de Kobanashi,Special
1997,Saiyuki Reload,TV
1998,ef - a tale of memories: Recollections,OVA
1999,Detective Conan OVA 5: The Target is Kogoro! The Detective Boys' Secret Investigation,OVA
2000,Hetalia: The World Twinkle,Web
2001,Saki: The Nationals,TV
2002,Ninja Hattori Returns Special,Special
2003,Future Diary OVA,OVA
2004,Rozen Maiden,TV
2005,Space Patrol Luluco,TV
2006,Get Backers,TV
2007,"Sengoku Basara: Samurai Kings - Clash in the Inland Sea of Seto! Fugaku, the Great Fire-Belching Fortress of the Sea!",Special
2008,Da Nao Tian Gong,Movie
2009,Saki: Episode of Side A Specials,Special
2010,"High School DxD New: Oppai, Tsutsumimasu!",OVA
2011,Himouto! Umaru-chan,TV
2012,Rainbow Days,TV
2013,Pokemon Movie 21: The Power of Us,Movie
2014,Baki,Web
2015,Hetalia: The World Twinkle - Surprise Halloween!,Special
2016,Baka and Test - Summon the Beasts Specials,Special
2017,Slam Dunk Movie 1,Movie
2018,Junjou Romantica Special,Special
2019,God Eater,TV
2020,Another World,Web
2021,Aria the Animation,TV
2022,The Seven Deadly Sins: Revival of The Commandments Prologue,Special
2023,Mahou Sensei Negima! ~Mou Hitotsu Sekai~ Magical Girl Yue,OVA
2024,Nogizaka Haruka no Himitsu: Purezza,TV
2025,Heartcatch Pretty Cure! Hana no Miyako de Fashion Show… desu ka!?,Movie
2026,Yowamushi Pedal: Special Ride,OVA
2027,Sound of the Sky,TV
2028,Gunslinger Girl,TV
2029,Utawarerumono: The False Faces,TV
2030,Croisee in a Foreign Labyrinth,TV
2031,Hitoshizuku-P x Yama△: Shikiori no Hane,Video
2032,Birdy the Mighty: Decode - The Cipher,OVA
2033,To Love Ru: Multiplication - Mae kara Ushiro kara,OVA
2034,RIN-NE 2,TV
2035,Resident Evil: Vendetta,Movie
2036,Please Teacher: Secret Couple,OVA
2037,My Mental Choices are Completely Interfering with my School Romantic Comedy,TV
2038,Lupin III,TV
2039,Domestic Girlfriend,TV
2040,Haiyore! Nyaruko-san W,TV
2041,Detective Conan OVA 3: Conan and Heiji and the Vanished Boy,OVA
2042,Sakura Quest,TV
2043,Naruto Shippuden Movie 2: Bonds,Movie
2044,Date a Live,TV
2045,Sekirei,TV
2046,Corpse Princess: Aka,TV
2047,Guomin Laogong Dai Huijia 3rd Season,Web
2048,Hetalia: Axis Powers Fan Disc,OVA
2049,Squid Girls Specials,Special
2050,Tanaka-kun wa Kyou mo Kedaruge,Web
2051,Re: Hamatora,TV
2052,Jing: King of Bandits - Seventh Heaven,OVA
2053,WATATEN! an Angel Flew Down to Me Special,Special
2054,Yozakura Quartet: Hoshi no Umi,OVA
2055,Adieu Galaxy Express 999,Movie
2056,Days OVA,OVA
2057,Yuuki Yuuna is a Hero: The Washio Sumi Chapter,TV
2058,Girls und Panzer: Dai 63 Kaisen Shadou Zenkoku Koukousei Taikai,Web
2059,Fist of the North Star,TV
2060,One Piece: Django's Dance Carnival,Other
2061,Vandread,TV
2062,Naruto Shippuden OVA: Sage Naruto vs Sasuke,OVA
2063,El-Hazard: The Magnificent World,OVA
2064,Fist of the North Star: Legend of Toki,OVA
2065,The Royal Tutor Movie,Movie
2066,Princess Nine,TV
2067,Persona 5 The Animation: Dark Sun...,Special
2068,Chie the Brat Movie,Movie
2069,The Demon Girl Next Door,TV
2070,Koi Suru Boukun,OVA
2071,Hatsukoi Limited,TV
2072,Doraemon (1973),TV
2073,Digimon Season 1: Digital Monsters,TV
2074,Saint Tail,TV
2075,GJ-bu,TV
2076,The Mysterious Cities of Gold,TV
2077,Uta no Prince-sama: Maji Love Legend Star,TV
2078,It's My Life,OVA
2079,City Hunter: The Secret Service,Special
2080,Lupin III: Part III,TV
2081,Ani ni Tsukeru Kusuri wa Nai!,Web
2082,Steamboy,Movie
2083,Little Busters! OVA,OVA
2084,Shigofumi Special,Special
2085,Kiddy Grade: Maelstrom,Movie
2086,Zoids: Chaotic Century,TV
2087,Mobile Suit Gundam II: Soldiers of Sorrow,Movie
2088,Heartcatch Pretty Cure!,TV
2089,Bamboo Blade,TV
2090,Kimagure Orange Road OVA,OVA
2091,Black Blood Brothers,TV
2092,My-Otome Zwei,OVA
2093,You and Me.,TV
2094,Ganba Fly High,TV
2095,Fafner: Heaven and Earth,Movie
2096,Love Hina X'mas Special: Silent Eve,Special
2097,Honobono Log,TV
2098,"Ranma 1/2: The Movie - Big Trouble in Nekonron, China",Movie
2099,Amanchu! Advance,TV
2100,Double Decker! Doug & Kirill Extra Story,Other
2101,Blood Blockade Battlefront & Beyond OVA,OVA
2102,Himouto! Umaru-chan: Umaru-chan Mou Ikkai!,OVA
2103,Aoyama Goshou Tanpenshuu,OVA
2104,Wang Gu Xian Qiong II,Web
2105,Clannad Movie,Movie
2106,Rumbling Hearts,TV
2107,Ajin OVA,OVA
2108,Captain Herlock: Outside Legend - The Endless Odyssey,OVA
2109,City Hunter: Million Dollar Conspiracy,Movie
2110,Ling Yu 4th Season,Web
2111,Magical Girl Lyrical Nanoha,TV
2112,Ushiro no Shoumen Dare,Movie
2113,Mob Psycho 100 Reigen: The Miraculous Unknown Psychic,Other
2114,Children of the Whales,TV
2115,Detroit Metal City: Birth of the Metal Devil,OVA
2116,Super Danganronpa 2.5: Komaeda Nagito to Sekai no Hakaisha,OVA
2117,Kodomo no Jikan: Ni Gakki Kuro-chan to Shiro-chan,OVA
2118,Ashita no Nadja,TV
2119,Gunbuster Movie,Movie
2120,Ah! My Goddess (2011),OVA
2121,Buddy Complex: Into the Skies of Tomorrow,Special
2122,Amagami SS Special,Special
2123,Wo Shi Jiang Xiaobai,Web
2124,Little Busters!,TV
2125,One Piece Movie 2: Clockwork Island Adventure,Movie
2126,One Piece: Adventure of Nebulandia,Special
2127,Unbreakable Machine-Doll,TV
2128,Seraph of the End: Battle in Nagoya Specials,Special
2129,Tales of the Abyss,TV
2130,Ground Control to Psychoelectric Girl,TV
2131,Sailor Moon R: The Movie,Movie
2132,Legendary Gambler Tetsuya,TV
2133,Ginga Hyouryuu Vifam,TV
2134,Lupin III Special 6: Dragon of Doom,Special
2135,Laughing Under the Clouds,TV
2136,RIN-NE 3,TV
2137,Ghost Hound,TV
2138,Sengoku Basara: Samurai Kings,TV
2139,Lord El-Melloi II's Case Files {Rail Zeppelin} Grace note,TV
2140,Tenchi Muyo! Ryo-Ohki 4,OVA
2141,You're Under Arrest!,TV
2142,Wang Gu Xian Qiong,Web
2143,Yume no Crayon Oukoku,TV
2144,Lupin III Special 13: Alcatraz Connection,Special
2145,Zoids: Guardian Force,TV
2146,Love Hina Again,OVA
2147,Hi no Tori: Houou Hen,Movie
2148,BanG Dream! 2nd Season,TV
2149,Black Jack: The Two Doctors of Darkness,Movie
2150,Rosario + Vampire Capu2,TV
2151,Kiba,TV
2152,Please Teacher,TV
2153,RahXephon,TV
2154,Today's Menu for Emiya Family,Web
2155,Jin: Outer Science,Video
2156,Legend of the Condor Hero III,TV
2157,Senyuu. 2,TV
2158,They Were Eleven,Movie
2159,Nadia: Secret Of Blue Water,TV
2160,Kengan Ashura,Web
2161,Yomigaeru Sora -Rescue Wings-,TV
2162,Nagasarete Airantou,TV
2163,Tentai Senshi Sunred Specials,Special
2164,Mobile Suit Gundam Unicorn RE:0096,TV
2165,Zegapain,TV
2166,City Hunter: Death of the Vicious Criminal Ryo Saeba,Special
2167,Aikatsu Stars!,TV
2168,Basilisk,TV
2169,One Piece Special 4: The Detective Memoirs of Chief Straw Hat Luffy,Special
2170,Mobile Suit Gundam I,Movie
2171,Mai-Otome,TV
2172,Tower of Druaga: the Aegis of Uruk,TV
2173,Maria-sama ga Miteru 4th Specials,Special
2174,Inazuma Eleven GO: Kyuukyoku no Kizuna Gryphon,Movie
2175,Origin: Spirits of the Past,Movie
2176,Meow Meow Japanese History 3rd Season,TV
2177,Umineko: When They Cry,TV
2178,Karin,TV
2179,Amagami SS OVA,OVA
2180,"Shounen Maid: Women Should Be Brave, and Men Should Be Winsome?",Special
2181,Kuroko's Basketball: Oshaberi Shiyokka,OVA
2182,Kara no Kyoukai: Epilogue,OVA
2183,Galaxy Express 999,TV
2184,The [email protected] Special,Special
2185,Mysterious Girlfriend X OVA,OVA
2186,Saiyuki,TV
2187,Seimei no Kagaku: Micro Patrol,TV
2188,Osomatsu-san: Mutsugo to Ouma no Monogatari,Web
2189,Hamatora,TV
2190,King of Thorn,Movie
2191,Sword Oratoria: Is it Wrong to Try to Pick Up Girls in a Dungeon? On the Side,TV
2192,Lupin III Special 5: Voyage To Danger,Movie
2193,Phi Brain: Kami no Puzzle 2,TV
2194,Z-Kai: Cross Road,Other
2195,Lupin III Special 7: The Pursuit of Harimao's Treasure,Special
2196,Armor Hunter Mellowlink,OVA
2197,Air Gear: Special Trick,Special
2198,Canaan,TV
2199,Saint Seiya Movie 5: The Heaven Chapter - Overture,Movie
2200,Keroro Gunsou Movie 2: Shinkai no Princess de Arimasu!,Movie
2201,Shuffle!,TV
2202,This Boy Caught a Merman,OVA
2203,Buddha 2: Tezuka Osamu no Buddha: Owarinaki Tabi,Movie
2204,Ghost in the Shell: Stand Alone Complex - Individual Eleven - Tachikoma Days,Special
2205,Kenshi Yonezu: Umi no Yuurei,Video
2206,Inazuma Eleven: Orion no Kokuin,TV
2207,Hibike! Euphonium Movie: Kitauji Koukou Suisougaku-bu e Youkoso,Movie
2208,"Wake Up, Girls! Movie 2: Beyond the Bottom",Movie
2209,UQ Holder!,TV
2210,Yawara!,TV
2211,Captain Tsubasa (2018),TV
2212,Cheer Boys!! Specials,Special
2213,Whistle!,TV
2214,Mai Mai Miracle,Movie
2215,Inari Kon Kon,TV
2216,Hakumei and Mikochi Special,Special
2217,Yawara! Special: Zutto Kimi no Koto ga,Special
2218,Keroro Gunsou Movie 4: Gekishin Dragon Warriors de Arimasu!,Movie
2219,New Getter Robo,TV
2220,Wasurenagumo,Movie
2221,Hi no Tori: Yamato Hen,OVA
2222,Eve: As You Like It,Video
2223,They Are My Noble Masters,TV
2224,Detective Conan OVA 8: High School Girl Detective Sonoko Suzuki's Case Files,OVA
2225,Record of Grancrest War,TV
2226,This Art Club Has a Problem!,TV
2227,Comic Girls,TV
2228,Skull-face Bookseller Honda-san,TV
2229,Pet Shop of Horrors,OVA
2230,Joshiraku,TV
2231,Neon Genesis Evangelion - Death and Rebirth,Movie
2232,Tamayura: Hitotose Special,Special
2233,Chain Chronicle: The Light of Haecceitas - Movie 3,Movie
2234,"Keroro Gunsou Movie 5: Kyuukyoku Keroro, Kiseki no Jikuu-jima, de arimasu!!",Movie
2235,Doraemon (2005),TV
2236,You're Under Arrest: Mini-Specials,TV
2237,Pom Poko,Movie
2238,Sunday Without God,TV
2239,[email protected],OVA
2240,Baki the Grappler: Maximum Tournament,TV
2241,"The Familiar of Zero: ""Rondo"" of Princesses - Seductive Beach",Special
2242,Karneval OVA,OVA
2243,Tamayura: More Aggressive,TV
2244,Kiniro Mosaic: Pretty Days,OVA
2245,Kodomo no Jikan: Ni Gakki,OVA
2246,Sailor Moon S: The Movie,Movie
2247,Attack on Titan 3rd Season Specials,Special
2248,Amanchu!,TV
